description,playlist_link,track URI,track_name,track_album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_track,track_release_date,main_artist_name,main_artist_popularity,all_artist,all_followers,artist_genres,Lyrics,words/min,word count
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,94,12/8/22,SZA,95,['SZA'],[10115648],"[['pop', 'r&b']]","I'm still a fan, even though I was salty Hate to see you with some other broad, now you happy Hate to see you happy, if I'm not the one driving I'm so mature, I'm so mature I'm so mature, I got me a therapist to tell me there's other men I don't want none, I just want you If I can't have you, no one should I might I might kill my ex, not the best idea His new girlfriend's next, how'd I get here? I might kill my ex, I still love him though Rather be in jail than alone I get the sense that it's a lost cause I get the sense that you might really love her This text gon' be evidence, this text is evidence I try to ration with you, no morals or crimes of passion, but damn You was out of reach You was at the farmer's market with your perfect peach Now I'm in the basement, planning home invasion Now you laying face-down, got me singing over a beat I'm so mature, I'm so mature I'm so mature, I got me a therapist to tell me there's other men I don't want none, I just want you If I can't have you, no one will Uh (uh) I might kill my ex, not the best idea His new girlfriend's next, how'd I get here? I might kill my ex, I still love him though Rather be in jail than alone I did it all for love (love) I did it all on no drugs (drugs) I did all of this sober I did it all for us, oh I did it all for love (love) I did it all of this on no drugs (drugs) I did all of this sober Don't you know I did it all for us? (I'll kill your ex tonight) Uh, I just killed my ex (my ex) Not the best idea (idea) Killed his girlfriend next, how'd I get here? I just killed my ex (my ex) I still love him, though (I do) Rather be in Hell than alone",137.96956095279543,354.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,98,12/2/22,Metro Boomin,92,"['Metro Boomin', 'The Weeknd', '21 Savage']","[3594616, 56784093, 12588101]","[['rap'], ['canadian contemporary r&b', 'canadian pop', 'pop'], ['atl hip hop', 'rap']]","Oooh Just can't believe this man (Metro Boomin want some more nigga) Somebody said they saw you The person you were kissing wasn't me And I would never ask you, I just kept it to myself I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby, I don't wanna know ♪ I think about it when I hold you When looking in your eyes, I can't believe And I don't need to know the truth But baby keep it to yourself I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby, I don't wanna know Did he touch you better than me? (touch you better than me?) Did he watch you fall asleep (watch you fall asleep?) Did you show him all those things that you used to do to me? If you're better off that way (better off that way) Baby all that I can say (all that I can say) If you're gonna do your thing, then don't come back to me Ooh Woah, woah, woah 21 Had me crushing, I was cuffing like the precinct How you go from housewife to a sneaky link Got you ridin round in all types of benz's and rovers Girl you used to ride in a rinky dink I'm the one put you in Eliante (on God) Fashion Nova model, I put you on the runway (on God) You was rocking coach bags, got you chanaynay Side bitch in frisco, I call her my bae bae (21) I got a girl but I still feel alone If you playing me that mean my home aint home Having nightmares of going through your phone (21) Can't even record you got me out my zone I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby I don't wanna know, if you're playing me Keep it on the low Cause my heart can't take it anymore And if you creeping, please don't let it show Oh baby I don't wanna know ♪ If you creeping just don't let me find out (on God) Get a hotel never bring him to the house (on God) If you're better off that way (better off that way) Baby all that I can say (all that I can say) If you're gonna do your thing, then don't come back to me",120.8017334777898,446.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,100,9/22/22,Sam Smith,89,"['Sam Smith', 'Kim Petras']","[21430600, 846612]","[['pop', 'uk pop'], ['dance pop', 'electropop', 'pop', 'post-teen pop', 'transpop']]","Mummy don't know daddy's getting hot At the body shop, doing something unholy He lucky, lucky, yeah (ooh) He lucky, lucky, yeah (ye-yeah) He lucky, lucky, yeah He lucky, lucky, yeah A lucky, lucky girl She got married to a boy like you She'd kick you out if she ever, ever knew 'Bout all the - you tell me that you do Dirty, dirty boy You know everyone is talking on the scene I hear them whispering 'bout the places that you've been And how you don't know how to keep your business clean Mummy don't know daddy's getting hot At the body shop, doing something unholy He's sat back while she's dropping it, she be popping it Yeah, she put it down slowly Oh-ee-oh-ee-oh, he left his kids at Ho-ee-oh-ee-ome, so he can get that Mummy don't know daddy's getting hot At the body shop, doing something unholy (woo) Mmm, daddy, daddy, if you want it, drop the add'y (yuh) Give me love, give me Fendi, my Balenciaga daddy You gon' need to bag it up, 'cause I'm spending on Rodeo (woo) You can watch me back it up, I'll be gone in the a.m And he, he get me Prada, get me Miu Miu like Rihanna (ah) He always call me 'cause I never cause no drama And when you want it, baby, I know I got you covered And when you need it, baby, just jump under the covers Mummy don't know daddy's getting hot At the body shop, doin' somethin' unholy He's sat back while she's dropping it, she be popping it Yeah, she put it down slowly Oh-ee-oh-ee-oh, he left his kids at Ho-ee-oh-ee-ome, so he can get that Mummy don't know daddy's getting hot At the body shop, doin' something unholy",113.54440784233766,297.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry's House,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,93,5/20/22,Harry Styles,90,['Harry Styles'],[25567253],[['pop']],"Come on, Harry, we wanna say ""good night"" to you! ♪ Holding me back Gravity's holding me back I want you to hold out the palm of your hand Why don't we leave it at that? Nothing to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay Oh-oh-oh In this world It's just us You know it's not the same as it was In this world It's just us You know it's not the same as it was As it was As it was You know it's not the same Answer the phone Harry, you're no good alone Why are you sitting at home on the floor? What kind of pills are you on? Ringing the bell And nobody's coming to help Your daddy lives by himself He just wants to know that you're well Oh-oh-oh In this world It's just us You know it's not the same as it was In this world It's just us You know it's not the same as it was As it was As it was You know it's not the same Go home, get ahead, light-speed internet I don't wanna talk about the way that it was Leave America, two kids follow her I don't wanna talk about who's doing it first Hey! As it was You know it's not the same as it was As it was As it was",85.35411797756167,238.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,98,8/26/22,David Guetta,90,"['David Guetta', 'Bebe Rexha']","[25353202, 7896786]","[['big room', 'dance pop', 'edm', 'pop', 'pop dance'], ['dance pop', 'edm', 'pop', 'post-teen pop']]","I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright 'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright ♪ Don't you know I'm good? Yeah, I'm feelin' alright You know I'm down for whatever tonight I don't need the finer things in life No matter where I go, it's a good time, yeah And I, I don't need to sit in VIP Middle of the floor, that's where I'll be Don't got a lot, but that's enough for me, yeah 'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright ♪ I'm good, good I'm good Don't you know I'm good? Yeah, I'm feelin' alright So I just let it go, let it go Oh-na-na-na-na-na No, I don't care no more, care no more Oh-na-na-na-na-na So come on, let me know, let me know Put your hands up, na-na-na No, baby, nothing's gonna stop us tonight 'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good? Yeah, I'm feelin' alright",90.73374496399182,265.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,5ww2BF9slyYgNOk37BlC4u,La Bachata,La Bachata,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,98,5/26/22,Manuel Turizo,86,['Manuel Turizo'],[11258591],"[['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']]","Te bloqueé de Insta, pero por otra cuenta veo tus historias (oh-oh-oh) Tu número lo borré, no sé pa' qué si me lo sé de memoria Me hiciste daño y así te extraño Y aunque sé que un día te voy a olvidar Aún no lo hago, es complicado To' lo que hicimo' me gusta recordar Ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide Porque ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide Que me cuide de otra que se parezca a ti No quiero caer como hice por ti Ojalá te enamore', te haga lo mismo que me hiciste a mí Tú me enseñaste a no amar a cualquiera Y también como no quiero que me quieran No-oh-oh, éramos tres en una relación de dos No te perdono, pídele perdón a Dios Dije que te olvidé y la verdad es que yo, yo Ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide Porque ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide ♪ Manuel Turizo",97.394212914571,264.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,97,10/21/22,Taylor Swift,99,['Taylor Swift'],[66219075],[['pop']],"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift All of the people I've ghosted stand there in the room I should not be left to my own devices They come with prices and vices I end up in crises Tale as old as time I wake up screaming from dreaming One day I'll watch as you're leaving 'Cause you got tired of my scheming For the last time It's me Hi! I'm the problem, it's me At teatime Everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero ♪ Sometimes I feel like everybody is a sexy baby And I'm a monster on the hill Too big to hang out Slowly lurching toward your favorite city Pierced through the heart but never killed Did you hear my covert narcissism I disguise as altruism? Like some kind of congressman Tale as old as time I wake up screaming from dreaming One day, I'll watch as you're leaving And life will lose all its meaning For the last time It's me Hi! I'm the problem, it's me (I'm the problem, it's me) At teatime Everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero ♪ I have this dream my daughter-in-law kills me for the money She thinks I left them in the will The family gathers 'round and reads it And then someone screams out ""She's laughing up at us from hell!"" It's me Hi! I'm the problem, it's me It's me Hi! I'm the problem, it's me It's me Hi! Everybody agrees Everybody agrees It's me Hi! (Hi!) I'm the problem, it's me (I'm the problem, it's me) At teatime Everybody agrees (everybody agrees) I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero",99.55652997159798,333.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Sr. Santos,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,196800,89,12/1/22,Arcángel,87,"['Arcángel', 'Bad Bunny']","[9619144, 63037095]","[['latin hip hop', 'reggaeton', 'urbano latino'], ['reggaeton', 'trap latino', 'urbano latino']]","Arcángel, pa ♪ A ella no le gusta el reggaetón Pero le encanta cómo canta la sensación No fue mi intención Quedarme con toa la atención Vivo en una mansión y no me sé ni la dirección Está cabrón, muy cabrón Papi Arca, pídanme la bendición Joder Mi casa es un hotel y se ve cabrona la vista En ella puedo aterrizar un avión Solo me falta la pista Imposible que falle esta combinación De flow una ensalada mixta Palomo, no insistas Cuando se habla de grandeza no estás en la lista Neverland Los desmonto como LEGOLAND Y si yo te señalo, lo' mío' te lo dan Y vas pa dentro, pero de la van Del cuello pa arriba hace mucho frío Yo llego y cae nieve en el caserío Dejando sin regalos a estos malparíos Santa Claus, con la esencia del Grinch metío Y yo la vi, anda con dos La amiga me miró Al VIP se pegó Claro que sí, claro que entró Hola Mi nombre es Arcángel, un gusto, un placer Hoy tú te vas con una leyenda que no va a volver a nacer Y ya la vi, anda con dos La amiga me miró Al VIP se pegó Claro que sí, claro que entró Hola, je Mi nombre es Bad Bunny, un gusto, un placer Aprovéchame hoy, que obligao no me vuelves a ver Tu baby quiere que la rompa Luka, step back La Jumpa Tú estás loco por vender el alma Pero ni el diablo te la compra Yo no tengo compe Pregúntaselo a tu compa To' el mundo ya sabe, por eso Bad Bunny ni ronca A mí me escuchan las abuelas y sus nietecitos maleantes Tiradores y estudiantes Doctores y gánsters Natural y con implante Los adultos y los infantes En Barcelona y Alicante En Santurce y Almirante Cruzando la calle con los Beatles Damian Lillard y otro buzzer beater El que quiera, que me tire Otra cosa es que yo mire Nah, nah, nah Yo soy un pitcher, yo soy un pitcher, ey Y este es otro juego que me voy no hitter Vengo de PR, tierra de Clemente A mí sin cojones me tienen to' los Jeters, ey Los haters no salen, yo nunca los veo en la calle Pa mí que ellos viven en Twitter Ey, OK, estoy ocupado haciendo dinero So, no tengo tiempo pa cuidar a mis hijos Que ninguno cobra más de lo que cobra la babysitter (Papi, vámonos ya, quiero chingar) OK, OK, dame un break Te escupo la boca, te jalo el pelo Te doy con el bicho y con el LELO En el jet privado, un polvo en el cielo Hoy quiero una puta, una modelo Mami, chapéame, no me molesta Que después yo te voy a romper con el néctar Y ya le di a las dos La amiga repitió Wow, qué rico me lo mamó En la boca de la otra se la echó Hola, je Mi nombre es Benito, un gusto, un placer Hoy chingaste con una leyenda que no va a volver a nacer Y yo la vi, anda con dos La amiga me miró Al VIP se pegó Claro que sí, claro que entró Hola Mi nombre es Austin, un gusto, un placer Estás escuchando a una leyenda que no va a volver a nacer, no ♪ Yeh-yeh-yeh-yeh Yeh-yeh-yeh-yeh Señor Santos y el Señor Martínez once again El fenómeno Arcángel, pa Yes, sir Bad Bunny, baby Bad Bunny, baby Bad Bunny, baby Bad Bunny, baby Bad Bunny, baby Bad Bunny, baby Bad Bunny, baby",181.7073170731708,596.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,97,7/6/22,Bizarrap,89,"['Bizarrap', 'Quevedo']","[8680890, 990464]","[['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino'], ['rap canario', 'urbano latino']]","(Perreamos toda la noche y nos dormimo' a las 10:00) ♪ Llegué al club con el combo, rápido la vi lejos Se pintaba lo' labios y la copa como espejo Se acercó poco a poco y yo queriendo que me baile Luego me dijo: ""vamos, que te enseño Buenos Aire'"" Y nos fuimos en una, empezamo' a la 1:00 Y con la nota, rápido nos dieron las 3:00 Perreamos toda la noche y nos dormimo' a las 10:00 Ando rezándole a Dios pa repetirlo otra ve' Y nos fuimos en una, empezamo' a la 1:00 Y con la nota, rápido nos diеron las 3:00 Perreamos toda la nochе y nos dormimo' a las 10:00 Ando rezándole a Dios pa repetirlo otra ve' (eh-eh, eh-eh, eh-eh) Dime, beba, fecha y hora y te paso a buscar Yo le llego donde los demás tú sabes que no le llegan Ruido de botellas de champán, de las copas al brindar Pero solo escucho cómo late (eh-eh, eh-eh) Mi corazón cuando veo ese cuerpo'e escaparate El traje combina con la Mercede' granate No hay otro por más que ellos traten (yeah) Quédate Que las noches sin ti duelen Tengo en la mente las pose' y todos los gemido' Que ya no quiero nada que no sea contigo Quédate Que las noches sin ti due-e-e-e-e-e-elen Tengo en la mente las pose' y todo lo que hicimo' Que ya no quiero nada que no sea contigo Dale, guacha, suelta (suelta) Vente pa Canaria' sin el equipaje y sin viaje de vuelta Por la isla te vo'a dar una vuelta Bebé, solo avisa El sábado teteo, el domingo misa Estoy a ver si me garantiza' Que te me pegas como quien graba con Biza Y vi salir a las amigas del party y ella se quedó Mirándonos a los ojo', no al reloj Y nos fuimos en Uber al apartamento En privado me pedía que le diera un concierto Le dije que por meno' de un beso no canto Y nos fuimos en una, empezamo' a la 1:00 Y con la nota, rápido nos dieron las 3:00 Perreamos toda la noche y nos dormimo' a las 10:00 Ando rezándole a Dios pa repetirlo otra ve' Quédate Que las noches sin ti duelen Tengo en la mente las pose' y todos los gemido' Que ya no quiero nada que no sea contigo Quédate Que las noches sin ti due-e-e-e-e-e-elen Tengo en la mente las pose' y todo lo que hicimo' Que ya no quiero nada que no sea contigo Bizarrap Quevedo con el Biza, yeah-yeah-yeah LPGC, you know, oh-oh, oh (eh-eh, eh-eh, eh-eh)",131.19665423398246,435.0
Top global songs,https://open.spotify.com/playlist/37i9dQZEVXbNG2KDcFcKOF,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,176440,94,4/22/22,Stephen Sanchez,81,"['Stephen Sanchez', 'Em Beihold']","[408016, 282052]","[['gen z singer-songwriter', 'pop'], ['alt z', 'gen z singer-songwriter']]","Georgia, wrap me up in all your- I want you in my arms Oh, let me hold you I'll never let you go again like I did Oh, I used to say ""I would never fall in love again until I found her"" I said, ""I would never fall unless it's you I fall into"" I was lost within the darkness, but then I found her I found you Heaven, when I held you again How could we ever just be friends? I would rather die than let you go Juliet to your Romeo, how I heard you say ""I would never fall in love again until I found her"" I said, ""I would never fall unless it's you I fall into"" I was lost within the darkness, but then I found her I found you ♪ I would never fall in love again until I found her I said, ""I would never fall unless it's you I fall into"" I was lost within the darkness, but then I found her I found you",59.17025617773748,174.0
